n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,re_prior,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.001,1,10000,1,19,mmbeddings,2.7128,1.29351,0.48339,0.640665,0.253782,0.274818,0.666744,2.72147,,0.313364,,,451,63.1447,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,0,mmbeddings,2.67788,1.27861,0.478947,0.567321,0.250409,0.230667,0.710174,2.79278,,0.481801,,,329,53.7698,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,1,mmbeddings,2.54249,1.25581,0.454713,0.504537,0.24894,0.205273,0.755849,2.63227,,0.612088,,,411,57.748,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,2,mmbeddings,2.78776,1.28642,0.470874,0.535127,0.276205,0.201263,0.709623,2.88852,,0.45086,,,450,60.22,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,3,mmbeddings,3.22869,1.39231,0.43509,0.589417,0.217822,0.215397,0.715077,3.31291,,0.551676,,,409,54.8373,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,4,mmbeddings,2.89066,1.33125,0.550686,0.53892,0.30656,0.213238,0.863951,2.96479,,0.646464,,,331,45.6569,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,5,mmbeddings,2.92214,1.3273,0.367968,0.628835,0.139198,0.223175,0.684663,2.96322,,0.411129,,,310,43.1395,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,6,mmbeddings,3.30846,1.40281,0.501695,0.529732,0.278913,0.217169,0.708429,3.45051,,0.797357,,,309,48.5416,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,7,mmbeddings,2.91043,1.32726,0.380164,0.585281,0.19475,0.231949,0.715137,2.98366,,0.429103,,,346,48.2153,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,8,mmbeddings,3.12896,1.36425,0.399939,0.619115,0.213047,0.224315,0.537179,3.19387,,0.424281,,,390,53.459,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,9,mmbeddings,2.96124,1.33268,0.426114,0.574385,0.237673,0.205521,0.706893,2.9978,,0.467796,,,463,63.4361,13651,"[100, 100]","[10, 10]",10
