n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,auc,logloss,accuracy,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
1000,100000,100,FALSE,1,0.001,1,100,12,regbeddings,0.674643,0.64753,0.625,0.933317,0.297794,0.508286,0.6752,,,0.0108652,,,39,5.6404,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,12,tabtransformer,0.834451,0.551345,0.75623,,,,,,,,,,33,13.6909,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,12,mmbeddings,0.861457,0.495004,0.78373,0.608317,0.223672,0.331291,0.7604,0.858142,,0.554204,,,61,8.73328,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,13,ignore,0.666398,0.657002,0.62276,,,,,,,,,,69,7.56707,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,13,mean-encoding,0.681733,0.657296,0.63382,,,,,,,,,,87,8.97958,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,13,embeddings,0.815103,0.576503,0.74876,0.922505,0.119247,0.48053,0.6132,,,0.0185063,,,48,7.53148,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,13,embeddings-l2,0.79983,0.591577,0.73068,0.990717,0.1569,0.516062,0.564,,,0.000286778,,,91,7.50098,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,13,hashing,0.815049,0.569733,0.74299,,,,,,,,,,51,8.92207,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,13,regbeddings,0.64231,0.664536,0.60392,0.955228,0.131015,0.497575,0.572,,,0.00624973,,,40,6.66872,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,13,tabtransformer,0.791747,0.597148,0.72154,,,,,,,,,,32,10.5016,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,13,mmbeddings,0.84549,0.595163,0.77334,0.605136,0.137785,0.315214,0.658,0.840787,,0.563351,,,159,15.1106,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,14,ignore,0.605061,0.676353,0.57676,,,,,,,,,,11,4.40044,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,14,mean-encoding,0.651132,0.659316,0.61051,,,,,,,,,,30,3.47396,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,14,embeddings,0.741786,0.604052,0.67997,0.935658,0.0145972,0.473668,0.6212,,,0.0112061,,,29,4.80939,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,14,embeddings-l2,0.741692,0.604771,0.6794,0.990604,0.0439109,0.501484,0.532,,,0.00028459,,,58,5.35831,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,14,hashing,0.766148,0.583964,0.69678,,,,,,,,,,32,5.00416,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,14,regbeddings,0.672916,0.648863,0.62672,0.926055,0.0202714,0.468806,0.666,,,0.0152866,,,63,7.80573,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,14,tabtransformer,0.795291,0.650749,0.72657,,,,,,,,,,52,19.6128,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,14,mmbeddings,0.782957,0.646401,0.71366,0.638934,0.0348734,0.323454,0.6004,0.771266,,0.396783,,,100,20.5381,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,15,ignore,0.67575,0.645271,0.62886,,,,,,,,,,31,3.66423,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,15,mean-encoding,0.691012,0.637474,0.64113,,,,,,,,,,51,6.04354,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,15,embeddings,0.777843,0.585561,0.70482,0.924916,0.073068,0.487172,0.6368,,,0.0137935,,,32,4.34673,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,15,embeddings-l2,0.73522,0.604592,0.67377,0.99123,0.124292,0.522101,0.5544,,,0.000223087,,,36,5.26822,1331,"[100, 100]","[10, 10]",10
