n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,d,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.001,1,10000,5,18,mmbeddings,2.74223,1.29991,0.498379,0.681539,0.227047,0.228139,0.688718,2.79014,,0.572399,,,336,40.9187,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,19,mmbeddings,3.0698,1.34554,0.414434,0.697061,0.225553,0.279535,0.728924,3.13604,,0.446109,,,468,59.2595,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,0,mmbeddings,2.49828,1.23743,0.515036,0.578584,0.267955,0.234638,0.626574,2.55243,,0.392515,,,419,66.4013,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,1,mmbeddings,2.85608,1.29856,0.531183,0.578134,0.37312,0.221055,0.612222,2.95841,,0.400194,,,450,58.9862,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,2,mmbeddings,3.12623,1.35988,0.436043,0.615629,0.257021,0.241255,0.743511,3.23653,,0.362447,,,352,59.018,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,3,mmbeddings,2.88397,1.32634,0.574815,0.630985,0.36819,0.212877,0.715121,2.85588,,0.375226,,,456,59.2179,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,4,mmbeddings,2.66722,1.26318,0.505844,0.603535,0.300522,0.236129,0.705418,2.70227,,0.340595,,,579,71.6176,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,5,mmbeddings,3.59106,1.45305,0.42009,0.66898,0.204832,0.26356,0.674989,3.64369,,0.356499,,,421,57.5568,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,6,mmbeddings,2.75218,1.29972,0.367356,0.651246,0.15239,0.247301,0.721059,2.76882,,0.280436,,,330,46.787,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,7,mmbeddings,3.00378,1.35832,0.458276,0.630994,0.232156,0.210541,0.674161,3.18185,,0.36931,,,237,54.7616,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,8,mmbeddings,3.21693,1.40143,0.576544,0.64289,0.359301,0.249276,0.649407,3.27208,,0.406303,,,496,64.3013,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,9,mmbeddings,3.07293,1.36066,0.46639,0.624269,0.260338,0.220438,0.753461,3.12065,,0.37535,,,369,53.4367,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,10,mmbeddings,3.12983,1.34374,0.336396,0.664724,0.173044,0.209743,0.789184,3.19438,,0.28428,,,401,60.0956,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,11,mmbeddings,3.73177,1.47872,0.497899,0.639041,0.318208,0.252561,0.7309,3.82684,,0.395604,,,423,54.3178,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,12,mmbeddings,3.03018,1.34171,0.539482,0.587683,0.320304,0.229317,0.786361,3.08286,,0.468936,,,338,46.2349,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,13,mmbeddings,2.52557,1.24661,0.502524,0.564302,0.301187,0.216831,0.749682,2.6013,,0.372013,,,362,53.6654,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,14,mmbeddings,2.86569,1.31943,0.548388,0.646568,0.319604,0.247509,0.650995,3.06461,,0.343235,,,417,56.8146,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,15,mmbeddings,2.7522,1.30071,0.494186,0.623935,0.233213,0.237244,0.737479,2.78381,,0.38308,,,270,37.1306,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,16,mmbeddings,2.93755,1.34241,0.423347,0.660126,0.217482,0.235429,0.591063,3.10897,,0.311927,,,491,58.1092,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,17,mmbeddings,2.78508,1.30736,0.532264,0.605792,0.330831,0.23126,0.546151,2.9066,,0.355254,,,445,58.7099,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,18,mmbeddings,2.77776,1.28891,0.385411,0.685358,0.190296,0.26861,0.654008,2.80326,,0.226768,,,461,59.7751,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,10,19,mmbeddings,2.7128,1.29351,0.48339,0.640665,0.253782,0.274818,0.666744,2.72147,,0.313364,,,451,63.1447,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,0,mmbeddings,3.16891,1.37999,0.412773,0.607226,0.225798,0.226729,0.717325,3.2631,,0.221303,,,489,66.6309,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,1,mmbeddings,3.16617,1.36593,0.423379,0.626919,0.226425,0.218671,0.782402,3.20899,,0.199969,,,308,67.2622,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,2,mmbeddings,3.30046,1.4024,0.464878,0.640617,0.27031,0.24043,0.754314,3.38676,,0.1884,,,366,54.9499,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,3,mmbeddings,3.42851,1.42218,0.385379,0.611453,0.191442,0.235549,0.633091,3.46667,,0.220808,,,258,39.7175,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,4,mmbeddings,2.73065,1.29285,0.500593,0.584669,0.257252,0.185247,0.784065,2.80942,,0.254464,,,395,56.6919,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,5,mmbeddings,3.33986,1.41893,0.500098,0.591328,0.305757,0.216102,0.663759,3.3945,,0.255885,,,283,43.9993,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,6,mmbeddings,2.5263,1.24507,0.497678,0.562483,0.286407,0.212183,0.782646,2.6035,,0.198098,,,232,35.908,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,7,mmbeddings,3.33424,1.40191,0.43948,0.615832,0.226164,0.215174,0.569685,3.31522,,0.257045,,,426,58.9032,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,8,mmbeddings,3.05259,1.34496,0.429419,0.627501,0.228634,0.215349,0.655089,3.16965,,0.205334,,,374,55.1458,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,9,mmbeddings,2.62752,1.26933,0.459778,0.610414,0.223144,0.2031,0.727818,2.68368,,0.21072,,,287,44.9896,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,10,mmbeddings,2.43487,1.22255,0.531336,0.546318,0.267914,0.206506,0.784866,2.48478,,0.257297,,,422,55.9474,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,11,mmbeddings,3.44076,1.42899,0.577039,0.545011,0.400732,0.18975,0.681838,3.55051,,0.307708,,,339,53.4113,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,12,mmbeddings,2.48614,1.23888,0.439289,0.527424,0.20579,0.207448,0.71774,2.58853,,0.242232,,,466,66.8984,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,13,mmbeddings,3.46098,1.42822,0.435857,0.607918,0.232157,0.221144,0.71553,3.43464,,0.231317,,,336,46.2007,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,14,mmbeddings,3.31227,1.41317,0.583271,0.584673,0.384996,0.217948,0.830692,3.49841,,0.280344,,,296,51.7707,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,15,mmbeddings,3.34765,1.39695,0.453957,0.60268,0.202449,0.235391,0.714744,3.39632,,0.265742,,,371,50.0329,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,16,mmbeddings,2.54723,1.25242,0.483344,0.638761,0.21921,0.215947,0.821672,2.66006,,0.192454,,,272,46.5493,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,17,mmbeddings,2.90995,1.32723,0.460479,0.640903,0.223981,0.23536,0.667152,3.07643,,0.175039,,,342,57.6502,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,18,mmbeddings,3.21193,1.38453,0.37676,0.57506,0.193518,0.229519,0.573552,3.47431,,0.240941,,,392,64.1832,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,20,19,mmbeddings,2.81708,1.30699,0.54149,0.579555,0.310095,0.204838,0.669126,2.88236,,0.246358,,,270,52.4244,15771,"[100, 100]","[10, 10]",10
