n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,13,hashing,14.1618,2.97508,0.358362,,,,,,,,,,,,60,162.121,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,13,regbeddings,12.4793,2.78864,0.434591,0.843999,0.181213,0.329075,0.638037,,,0.0895164,0.0947256,0.0356183,,,146,85.6569,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,13,tabtransformer,20.6135,3.60339,0.066053,,,,,,,,,,,,24,91.2033,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,13,unified,12.2451,2.75708,0.445204,,,,,,,,,,,,49,143.512,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,14,ignore,11.0473,2.62174,0.420366,,,,,,,,,,,,443,36.4375,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,14,mean-encoding,11.1003,2.62689,0.417589,,,,,,,,,,,,223,21.7787,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,14,embeddings,11.7659,2.70534,0.382663,0.949341,0.0793955,0.344429,0.571596,,,0.00609221,0.00723173,0.00763777,,,42,21.9799,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,14,hashing,11.6324,2.69042,0.389668,,,,,,,,,,,,37,99.7591,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,14,regbeddings,11.275,2.64856,0.408423,0.886076,0.0774377,0.321582,0.579942,,,0.0321441,0.0565637,0.0314232,,,132,84.9826,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,14,tabtransformer,18.6035,3.41944,0.0239084,,,,,,,,,,,,20,92.6171,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,14,unified,11.7707,2.70688,0.382413,,,,,,,,,,,,41,143.654,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,15,ignore,12.9487,2.83678,0.396267,,,,,,,,,,,,286,24.442,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,15,mean-encoding,13.2077,2.86364,0.384194,,,,,,,,,,,,218,42.2656,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,15,embeddings,12.5229,2.78639,0.41612,0.949761,0.135889,0.35873,0.57648,,,0.00698723,0.00684029,0.0069118,,,42,10.8095,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,15,hashing,13.6347,2.91169,0.364285,,,,,,,,,,,,65,187.541,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,15,regbeddings,13.5522,2.89711,0.36813,0.906488,0.117175,0.342401,0.581409,,,0.0277211,0.0248393,0.0244459,,,93,40.5311,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,15,tabtransformer,21.3672,3.66081,0.00375501,,,,,,,,,,,,18,72.2931,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,15,unified,12.3314,2.76476,0.425051,,,,,,,,,,,,43,115.497,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,16,ignore,11.9079,2.7153,0.427313,,,,,,,,,,,,638,51.9452,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,16,mean-encoding,12.0225,2.72866,0.421802,,,,,,,,,,,,313,30.2021,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,16,embeddings,11.0865,2.61648,0.466818,0.94643,0.131356,0.36081,0.618602,,,0.00645499,0.00698238,0.00669042,,,38,13.106,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,16,hashing,12.3963,2.77422,0.403825,,,,,,,,,,,,41,123.319,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,16,regbeddings,11.166,2.62821,0.462993,0.825763,0.135518,0.314919,0.633177,,,0.0592779,0.120964,0.0828567,,,165,67.548,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,16,tabtransformer,20.0655,3.56259,0.0349893,,,,,,,,,,,,21,81.2127,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,16,unified,11.3939,2.65231,0.452031,,,,,,,,,,,,37,143.839,10486291,"[100, 100]","[10, 10]",10
